[WARN ] 2018-11-06T09:31:40,176Z [Thread-2 (ActiveMQ-server-org.apache.activemq.artemis.core.server.impl.ActiveMQServerImpl$3@3c5cb013)] core.client.fail - AMQ212037: Connection failure has been detected: AMQ119014: Did not receive data from /2a01:4c8:102b:f582:71e2:d233:eb05:4905:59872 within the 60,000ms connection TTL. The connection will now be closed. [code=CONNECTION_TIMEDOUT] {}
[WARN ] 2018-11-06T09:31:25,029Z [HikariPool-1 housekeeper] pool.HikariPool.run - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=11h41m20s102ms). {}
[INFO ] 2018-11-06T09:31:40,824Z [nioEventLoopGroup-2-2] O=PartyA, L=London, C=GB.onTransportError - Transport Error TransportImpl [_connectionEndpoint=org.apache.qpid.proton.engine.impl.ConnectionImpl@164d4c23, org.apache.qpid.proton.engine.impl.TransportImpl@4585f3b6] {}
[INFO ] 2018-11-06T09:31:40,840Z [nioEventLoopGroup-2-2] O=PartyA, L=London, C=GB.onTransportError - Error: connection aborted {}
[WARN ] 2018-11-06T09:31:42,452Z [Thread-2 (ActiveMQ-server-org.apache.activemq.artemis.core.server.impl.ActiveMQServerImpl$3@3c5cb013)] core.client.fail - AMQ212037: Connection failure has been detected: AMQ119014: Did not receive data from /2a01:4c8:102b:f582:71e2:d233:eb05:4905:59882 within the 60,000ms connection TTL. The connection will now be closed. [code=CONNECTION_TIMEDOUT] {}
[INFO ] 2018-11-06T09:31:42,569Z [nioEventLoopGroup-2-2] netty.AMQPClient.operationComplete - Disconnected from [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:31:42,787Z [nioEventLoopGroup-2-2] O=PartyC, L=Lagos, C=NG.channelInactive - Closed client connection 956abe4d from /2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0:10009 to /2a01:4c8:102b:f582:71e2:d233:eb05:4905:59873 {}
[INFO ] 2018-11-06T09:31:42,802Z [nioEventLoopGroup-2-2] peers.DL5gCox11jR8SJDXFs6H3UkcFz2Vm2bGe6Y2CYSfokgjgR -> [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009:O=PartyC, L=Lagos, C=NG.onSocketConnected - Bridge Disconnected {}
[INFO ] 2018-11-06T09:31:43,650Z [nioEventLoopGroup-2-3] netty.AMQPClient.run - Retry connect {}
[INFO ] 2018-11-06T09:31:43,819Z [nioEventLoopGroup-2-4] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:31:47,935Z [nioEventLoopGroup-2-5] netty.AMQPClient.run - Retry connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
[INFO ] 2018-11-06T09:31:47,998Z [nioEventLoopGroup-2-6] netty.AMQPClient.operationComplete - Failed to connect to [2a01:4c8:102b:f582:71e2:d233:eb05:4905%en0]:10009 {}
